Crash Time of Day,Collision Type,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Driver At Fault,Driver Distracted By,Vehicle First Impact Location,Vehicle Second Impact Location,Vehicle Body Type,Vehicle Movement,Speed Limit,Parked Vehicle
5,3,0,0,2,0,1,0,5,5,0,12,30,0
0,1,0,5,2,0,1,1,2,2,0,3,30,0
5,3,1,0,0,0,0,0,3,4,0,1,45,0
5,3,0,0,1,0,1,1,10,11,0,1,35,0
3,4,1,2,1,0,1,0,2,2,0,5,35,0
5,3,0,0,1,0,1,1,8,8,0,5,0,0
0,9,0,0,0,0,0,0,2,1,0,0,30,0
0,0,0,4,1,0,0,0,0,0,0,0,45,0
0,0,0,0,1,0,1,1,2,2,0,3,25,0
5,3,0,0,1,0,1,1,2,2,0,1,45,0
1,3,0,0,1,0,1,0,3,4,0,2,40,0
0,3,0,0,2,0,1,1,6,6,0,5,35,0
5,2,0,0,2,0,0,0,1,1,0,1,35,0
5,3,1,0,0,0,1,1,8,8,4,12,45,0
4,3,0,0,1,0,0,0,3,3,0,1,45,0
4,12,1,0,2,0,0,0,8,9,0,1,45,0
5,2,0,0,0,0,1,1,3,3,0,12,30,0
0,1,0,0,2,0,1,1,2,2,0,1,25,0
3,0,0,5,1,0,0,0,6,6,3,3,40,0
4,3,0,0,1,0,0,0,3,3,0,1,45,0
0,0,0,0,2,0,1,0,2,2,8,3,30,0
5,3,0,0,1,0,0,0,2,2,10,1,40,0
3,2,0,2,2,0,0,0,8,8,0,1,30,0
0,1,0,0,2,0,0,0,2,2,4,12,35,0
5,4,0,0,1,0,0,0,2,2,0,1,35,0
0,0,0,0,2,0,0,0,0,0,5,3,35,0
0,4,0,0,2,0,1,1,1,2,0,5,35,0
3,4,0,2,1,0,1,0,2,2,0,5,35,0
5,3,0,0,1,0,0,0,10,11,0,2,45,0
0,1,0,0,2,0,1,0,2,2,0,12,25,0
0,0,0,5,1,0,1,1,2,2,0,3,15,0
5,3,0,0,2,0,1,0,2,2,0,5,45,0
5,0,0,0,1,0,0,0,0,0,0,0,50,0
0,4,0,0,1,0,0,0,2,2,0,1,35,0
0,0,0,2,2,0,1,0,2,2,0,1,25,0
4,9,1,0,2,0,1,1,1,1,8,1,30,0
0,0,0,0,2,0,0,0,0,0,5,0,45,0
5,3,0,0,1,0,1,1,2,2,8,5,30,0
5,1,0,0,2,0,0,0,2,2,8,1,55,0
5,2,0,0,1,0,0,0,10,11,0,1,35,0
5,3,0,0,2,0,1,1,2,2,0,5,30,0
2,1,0,2,1,0,1,0,2,2,0,1,25,0
0,0,0,0,2,0,0,0,0,0,0,3,55,0
5,1,0,0,2,0,1,1,0,0,0,13,15,0
5,1,0,0,2,0,1,0,3,2,0,14,25,0
0,3,0,0,1,0,1,1,2,2,0,1,40,0
3,0,0,2,2,0,0,0,0,0,0,3,35,0
4,0,0,0,1,0,0,0,0,0,11,0,45,0
2,1,0,2,2,0,1,0,2,2,8,1,35,0
5,3,0,0,2,0,1,0,3,3,0,2,25,0
5,0,0,0,2,0,0,0,0,0,2,3,35,0
5,0,0,0,1,0,0,0,0,0,4,3,25,0
0,0,0,0,2,0,0,0,0,0,4,3,25,0
0,0,0,0,1,0,0,0,0,0,0,3,25,0
5,6,0,0,1,0,1,0,1,1,3,6,30,0
5,3,0,0,1,0,1,1,2,3,0,5,40,0
0,0,0,2,2,0,0,0,0,0,0,2,35,0
4,0,0,0,2,0,0,0,0,0,0,0,40,0
0,0,0,0,2,0,0,0,0,0,4,3,35,0
0,2,0,0,2,0,1,0,9,4,0,1,25,0
3,3,0,2,1,0,1,1,2,2,0,2,35,0
5,3,0,0,0,0,0,0,8,8,0,2,35,0
0,0,0,0,2,0,1,0,2,2,0,3,40,0
0,4,0,0,2,0,1,0,3,3,0,2,40,0
4,3,0,0,1,0,1,0,7,7,3,3,45,0
4,2,0,0,2,0,0,0,6,6,0,3,55,0
4,3,0,0,5,0,0,0,10,11,0,1,25,0
2,1,0,2,1,0,1,0,12,12,6,7,40,0
4,0,0,0,2,0,0,0,0,0,5,3,30,0
4,3,0,0,1,0,0,0,11,9,11,1,45,0
0,2,0,0,2,0,1,1,5,5,0,6,35,0
4,6,0,0,2,0,1,1,1,1,0,6,35,0
5,4,0,0,1,0,0,0,2,2,0,1,45,0
5,3,0,0,2,0,0,0,1,1,0,3,25,0
0,3,0,0,2,0,1,0,2,2,0,2,35,0
0,3,0,0,1,0,0,0,2,2,0,1,30,0
0,2,0,5,0,0,1,1,8,8,0,2,35,0
4,0,0,0,6,0,0,0,0,0,0,0,35,0
5,0,0,0,2,0,1,0,2,2,0,1,35,0
3,0,0,2,2,0,0,0,1,1,0,8,10,1
4,3,0,0,1,0,0,0,1,1,0,1,30,0
5,2,0,0,2,0,0,0,4,4,3,1,35,0
3,4,0,2,1,0,0,0,5,5,0,5,35,0
0,0,0,0,2,0,0,0,0,0,0,0,35,0
5,0,0,0,2,0,1,1,2,2,0,1,35,0
0,0,0,0,2,0,1,0,2,2,0,15,25,0
5,0,0,0,2,0,1,1,2,2,0,3,35,0
2,3,0,2,1,0,0,0,1,1,0,0,35,0
0,0,0,0,2,0,1,1,2,2,0,3,50,0
5,0,0,0,1,0,0,0,0,0,0,0,45,0
0,0,0,0,2,0,0,0,0,0,0,3,35,0
0,0,0,0,2,0,0,0,0,0,0,3,40,0
5,2,0,0,2,0,0,0,3,3,0,1,35,0
4,0,0,0,1,0,0,0,0,0,0,0,40,0
4,0,0,0,2,0,0,0,0,0,0,3,40,0
4,1,0,0,2,1,1,0,2,2,0,1,40,0
0,3,0,0,1,0,1,1,2,2,0,2,40,0
4,2,1,0,1,0,0,0,4,4,0,1,35,0
0,0,0,0,2,0,0,0,6,6,0,0,40,0
0,10,0,0,1,0,0,0,2,2,4,1,30,0
4,0,0,0,1,0,0,0,0,0,0,0,40,0
0,0,0,0,2,0,1,1,2,2,0,3,40,0
4,0,0,0,2,0,0,0,0,0,0,3,30,0
0,0,0,0,2,0,0,0,2,2,1,3,55,0
0,3,0,0,0,0,0,0,10,11,0,1,40,0
4,0,1,0,1,0,0,0,0,0,0,1,55,0
5,2,0,0,1,0,1,0,8,8,3,6,30,0
4,0,0,0,2,0,0,0,0,0,0,3,35,0
3,3,1,3,1,0,1,0,2,2,0,1,45,0
5,0,0,0,2,0,0,0,2,2,0,2,45,0
3,3,0,2,1,0,0,0,2,2,1,1,35,0
2,3,0,2,1,1,1,0,2,2,0,12,50,0
0,3,0,0,2,0,1,0,11,9,5,15,35,0
0,1,0,0,2,0,0,0,2,2,2,1,40,0
4,0,0,0,1,0,0,0,0,0,0,0,40,0
0,2,0,0,2,0,0,0,4,4,0,0,15,0
0,0,0,0,2,0,0,0,0,0,0,0,40,0
0,0,0,0,2,0,0,0,0,0,0,0,40,0
0,3,0,0,0,0,0,0,2,2,0,1,25,0
2,9,0,2,2,0,1,1,1,1,0,2,35,0
4,3,0,0,1,0,1,0,1,1,0,12,40,0
